15,19.845556,1671786119
21,19.845556,1671786119
37,19.845556,1671786119
15,19.821670,1671786120
15,19.668413,1671786121
37,19.821670,1671786121
21,19.821670,1671786122
15,19.732952,1671786122
15,19.878290,1671786123
37,19.668413,1671786123
15,19.701866,1671786124
21,19.668413,1671786125
37,19.732952,1671786125
15,19.890632,1671786125
15,20.032993,1671786126
37,19.878290,1671786127
15,20.043606,1671786127
21,19.732952,1671786128
15,20.213960,1671786128
37,19.701866,1671786129
15,20.334337,1671786129
15,20.358857,1671786130
21,19.878290,1671786131
37,19.890632,1671786131
15,20.260380,1671786131
15,20.447116,1671786133
37,20.032993,1671786134
15,20.590630,1671786134
21,19.701866,1671786134
15,20.379492,1671786135
37,20.043606,1671786135
15,20.239439,1671786136
15,20.412016,1671786137
21,19.890632,1671786137
37,20.213960,1671786138
15,20.428200,1671786138
15,20.258981,1671786139
